TEST_ID,DATE(TEST_DATE),SAMPLE_PIPE_NO,SAMPLE_ID,D_AV,T_AV,CIRCUMFARANCE,REVIEWED_BY,REMARK
151,2023-11-04,H22081018-10,TEST-25,355.6,12.7,1118,Er. Bhaumik QC,
PRESSURE,expansion,stress,strain,T_SEC,T_TIMESTAMP
0.0000,0.0000,0.0000,0.0000,10,00:00:10
0.0000,0.0000,0.0000,0.0000,10,00:00:10
0.0000,0.0000,0.0000,0.0000,10,00:00:10
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,12,00:00:12
0.0000,0.0000,0.0000,0.0000,12,00:00:12
0.0000,0.0000,0.0000,0.0000,12,00:00:12
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,14,00:00:14
0.0000,0.0000,0.0000,0.0000,14,00:00:14
0.0000,0.0000,0.0000,0.0000,14,00:00:14
0.0000,0.0000,0.0000,0.0000,15,00:00:15
0.1000,0.0000,1.4000,0.0000,15,00:00:15
0.1000,0.0000,1.4000,0.0000,15,00:00:15
0.0000,0.0000,0.0000,0.0000,15,00:00:15
0.0000,0.0000,0.0000,0.0000,16,00:00:16
0.1000,0.0000,1.4000,0.0000,16,00:00:16
0.1000,0.0000,1.4000,0.0000,16,00:00:16
0.1000,0.0000,1.4000,0.0000,17,00:00:17
0.0000,0.0000,0.0000,0.0000,17,00:00:17
0.1000,0.0000,1.4000,0.0000,17,00:00:17
0.1000,0.0000,1.4000,0.0000,17,00:00:17
0.1000,0.0000,1.4000,0.0000,18,00:00:18
0.0000,0.0000,0.0000,0.0000,18,00:00:18
0.1000,0.0000,1.4000,0.0000,18,00:00:18
0.1000,0.0000,1.4000,0.0000,19,00:00:19
0.1000,0.0000,1.4000,0.0000,19,00:00:19
0.1000,0.0000,1.4000,0.0000,19,00:00:19
0.1000,0.0000,1.4000,0.0000,20,00:00:20
0.0000,0.0000,0.0000,0.0000,20,00:00:20
0.1000,0.0000,1.4000,0.0000,20,00:00:20
0.1000,0.0000,1.4000,0.0000,20,00:00:20
0.1000,0.0000,1.4000,0.0000,21,00:00:21
0.1000,0.0000,1.4000,0.0000,21,00:00:21
0.1000,0.0000,1.4000,0.0000,21,00:00:21
0.1000,0.0000,1.4000,0.0000,22,00:00:22
0.1000,0.0000,1.4000,0.0000,22,00:00:22
0.1000,0.0000,1.4000,0.0000,22,00:00:22
0.1000,0.0000,1.4000,0.0000,23,00:00:23
0.1000,0.0000,1.4000,0.0000,23,00:00:23
0.1000,0.0000,1.4000,0.0000,23,00:00:23
0.1000,0.0000,1.4000,0.0000,24,00:00:24
0.1000,0.0000,1.4000,0.0000,24,00:00:24
0.2000,0.0000,2.8000,0.0000,24,00:00:24
0.2000,0.0000,2.8000,0.0000,25,00:00:25
0.1000,0.0000,1.4000,0.0000,25,00:00:25
0.1000,0.0000,1.4000,0.0000,25,00:00:25
0.1000,0.0000,1.4000,0.0000,26,00:00:26
0.1000,0.0000,1.4000,0.0000,26,00:00:26
0.2000,0.0000,2.8000,0.0000,26,00:00:26
0.2000,0.0000,2.8000,0.0000,27,00:00:27
0.2000,0.0000,2.8000,0.0000,27,00:00:27
0.2000,0.0000,2.8000,0.0000,27,00:00:27
0.1000,0.0000,1.4000,0.0000,27,00:00:27
0.1000,0.0000,1.4000,0.0000,28,00:00:28
0.1000,0.0000,1.4000,0.0000,28,00:00:28
0.2000,0.0000,2.8000,0.0000,28,00:00:28
0.2000,0.0000,2.8000,0.0000,29,00:00:29
0.2000,0.0000,2.8000,0.0000,29,00:00:29
0.2000,0.0000,2.8000,0.0000,29,00:00:29
0.1000,0.0000,1.4000,0.0000,30,00:00:30
0.2000,0.0000,2.8000,0.0000,30,00:00:30
0.1000,0.0000,1.4000,0.0000,30,00:00:30
0.2000,0.0000,2.8000,0.0000,31,00:00:31
0.2000,0.0000,2.8000,0.0000,31,00:00:31
0.2000,0.0000,2.8000,0.0000,31,00:00:31
0.2000,0.0000,2.8000,0.0000,32,00:00:32
0.2000,0.0000,2.8000,0.0000,32,00:00:32
0.2000,0.0000,2.8000,0.0000,33,00:00:33
0.2000,0.0000,2.8000,0.0000,33,00:00:33
0.2000,0.0000,2.8000,0.0000,33,00:00:33
0.2000,0.0000,2.8000,0.0000,34,00:00:34
0.2000,0.0000,2.8000,0.0000,34,00:00:34
0.2000,0.0000,2.8000,0.0000,34,00:00:34
0.2000,0.0000,2.8000,0.0000,35,00:00:35
0.2000,0.0000,2.8000,0.0000,35,00:00:35
0.2000,0.0000,2.8000,0.0000,35,00:00:35
0.2000,0.0000,2.8000,0.0000,36,00:00:36
0.2000,0.0000,2.8000,0.0000,36,00:00:36
0.2000,0.0000,2.8000,0.0000,36,00:00:36
0.2000,0.0000,2.8000,0.0000,37,00:00:37
0.3000,0.0000,4.2000,0.0000,37,00:00:37
0.3000,0.0000,4.2000,0.0000,37,00:00:37
0.3000,0.0000,4.2000,0.0000,38,00:00:38
0.3000,0.0000,4.2000,0.0000,38,00:00:38
0.3000,0.0000,4.2000,0.0000,38,00:00:38
0.3000,0.0000,4.2000,0.0000,39,00:00:39
0.3000,0.0000,4.2000,0.0000,39,00:00:39
0.3000,0.0000,4.2000,0.0000,40,00:00:40
0.4000,0.0000,5.6000,0.0000,40,00:00:40
0.4000,0.0000,5.6000,0.0000,40,00:00:40
0.4000,0.0000,5.6000,0.0000,41,00:00:41
0.4000,0.0000,5.6000,0.0000,41,00:00:41
0.4000,0.0000,5.6000,0.0000,41,00:00:41
0.4000,0.0000,5.6000,0.0000,42,00:00:42
0.4000,0.0000,5.6000,0.0000,42,00:00:42
0.4000,0.0000,5.6000,0.0000,42,00:00:42
0.5000,0.0000,7.0000,0.0000,43,00:00:43
0.5000,0.0000,7.0000,0.0000,43,00:00:43
0.5000,0.0000,7.0000,0.0000,44,00:00:44
0.5000,0.0000,7.0000,0.0000,44,00:00:44
0.5000,0.0000,7.0000,0.0000,44,00:00:44
0.6000,0.0000,8.4000,0.0000,45,00:00:45
0.6000,0.0000,8.4000,0.0000,45,00:00:45
0.6000,0.0000,8.4000,0.0000,45,00:00:45
0.7000,0.0000,9.8000,0.0000,46,00:00:46
0.7000,0.0000,9.8000,0.0000,46,00:00:46
0.7000,0.0000,9.8000,0.0000,47,00:00:47
0.8000,0.0000,11.2000,0.0000,47,00:00:47
0.8000,0.0000,11.2000,0.0000,47,00:00:47
0.9000,0.0000,12.6000,0.0000,48,00:00:48
0.9000,0.0000,12.6000,0.0000,48,00:00:48
1.0000,0.0000,14.0000,0.0000,48,00:00:48
1.0000,0.0000,14.0000,0.0000,49,00:00:49
1.1000,0.0000,15.4000,0.0000,49,00:00:49
1.2000,0.0000,16.8000,0.0000,50,00:00:50
1.2000,0.0000,16.8000,0.0000,50,00:00:50
1.3000,0.0000,18.2000,0.0000,50,00:00:50
1.4000,0.0000,19.6000,0.0000,51,00:00:51
1.5000,0.0000,21.0000,0.0000,51,00:00:51
1.6000,0.0000,22.4000,0.0000,52,00:00:52
1.7000,0.0000,23.8000,0.0000,52,00:00:52
1.7000,0.0000,23.8000,0.0000,52,00:00:52
1.8000,0.0000,25.2000,0.0000,53,00:00:53
1.9000,0.0000,26.6000,0.0000,53,00:00:53
2.1000,0.0000,29.4000,0.0000,53,00:00:53
2.2000,0.0000,30.8000,0.0000,54,00:00:54
2.4000,0.0000,33.6000,0.0000,54,00:00:54
2.5000,0.0000,35.0000,0.0000,55,00:00:55
2.7000,0.0000,37.8000,0.0000,55,00:00:55
3.0000,0.0000,42.0000,0.0000,55,00:00:55
3.3000,0.0000,46.2000,0.0000,56,00:00:56
3.6000,0.0000,50.4000,0.0000,56,00:00:56
4.0000,0.0000,56.0000,0.0000,57,00:00:57
4.4000,0.0000,61.6000,0.0000,57,00:00:57
4.8000,0.0000,67.2000,0.0000,57,00:00:57
5.2000,0.0000,72.8000,0.0000,58,00:00:58
5.7000,0.0000,79.8000,0.0000,58,00:00:58
6.1000,0.0000,85.4000,0.0000,59,00:00:59
6.6000,0.0000,92.4000,0.0000,59,00:00:59
7.1000,0.0000,99.4000,0.0000,60,00:01:00
7.6000,0.0000,106.4000,0.0000,60,00:01:00
8.1000,0.0000,113.4000,0.0000,60,00:01:00
8.7000,0.0000,121.8000,0.0000,61,00:01:01
9.2000,0.0000,128.8000,0.0000,61,00:01:01
9.8000,0.0000,137.2000,0.0000,62,00:01:02
10.3000,0.0000,144.2000,0.0000,62,00:01:02
11.0000,0.0000,154.0000,0.0000,62,00:01:02
11.5000,0.0000,161.0000,0.0000,63,00:01:03
12.1000,0.0000,169.4000,0.0000,63,00:01:03
12.6000,0.0000,176.4000,0.0000,64,00:01:04
13.3000,0.0000,186.2000,0.0000,64,00:01:04
13.8000,0.0000,193.2000,0.0000,64,00:01:04
14.5000,0.0000,203.0000,0.0000,65,00:01:05
15.2000,0.0000,212.8000,0.0000,65,00:01:05
15.8000,0.0800,221.2000,0.0072,66,00:01:06
16.5000,0.0900,231.0000,0.0081,66,00:01:06
17.1000,0.1700,239.4000,0.0152,67,00:01:07
17.8000,0.1700,249.2000,0.0152,67,00:01:07
18.5000,0.2600,259.0000,0.0233,67,00:01:07
19.0000,0.3400,266.0000,0.0304,68,00:01:08
19.7000,0.3400,275.8000,0.0304,68,00:01:08
20.1000,0.5100,281.4000,0.0456,69,00:01:09
20.7000,0.5100,289.8000,0.0456,69,00:01:09
21.3000,0.5100,298.2000,0.0456,69,00:01:09
22.0000,0.5100,308.0000,0.0456,70,00:01:10
22.7000,0.5900,317.8000,0.0528,70,00:01:10
23.3000,0.5900,326.2000,0.0528,71,00:01:11
23.8000,0.6800,333.2000,0.0608,71,00:01:11
24.3000,0.6800,340.2000,0.0608,72,00:01:12
24.8000,0.6800,347.2000,0.0608,72,00:01:12
25.3000,0.7600,354.2000,0.0680,72,00:01:12
25.8000,0.8500,361.2000,0.0760,73,00:01:13
26.3000,0.9300,368.2000,0.0832,73,00:01:13
26.8000,0.9300,375.2000,0.0832,74,00:01:14
27.2000,1.1000,380.8000,0.0984,74,00:01:14
27.4000,1.1000,383.6000,0.0984,75,00:01:15
27.8000,1.1800,389.2000,0.1055,75,00:01:15
28.0000,1.2700,392.0000,0.1136,76,00:01:16
28.3000,1.3500,396.2000,0.1208,76,00:01:16
28.7000,1.4400,401.8000,0.1288,76,00:01:16
29.0000,1.5200,406.0000,0.1360,77,00:01:17
29.2000,1.5200,408.8000,0.1360,77,00:01:17
29.3000,1.6900,410.2000,0.1512,78,00:01:18
29.4000,1.8600,411.6000,0.1664,78,00:01:18
29.7000,2.0200,415.8000,0.1807,79,00:01:19
30.0000,2.1100,420.0000,0.1887,79,00:01:19
30.2000,2.2800,422.8000,0.2039,79,00:01:19
30.3000,2.3600,424.2000,0.2111,80,00:01:20
30.4000,2.5300,425.6000,0.2263,80,00:01:20
30.5000,2.5300,427.0000,0.2263,81,00:01:21
30.6000,2.7000,428.4000,0.2415,81,00:01:21
30.9000,2.8700,432.6000,0.2567,82,00:01:22
31.0000,2.9500,434.0000,0.2639,82,00:01:22
31.1000,3.1200,435.4000,0.2791,83,00:01:23
31.1000,3.2900,435.4000,0.2943,83,00:01:23
31.1000,3.4600,435.4000,0.3095,83,00:01:23
31.3000,3.6200,438.2000,0.3238,84,00:01:24
31.5000,3.6200,441.0000,0.3238,84,00:01:24
31.6000,3.7900,442.4000,0.3390,85,00:01:25
31.5000,3.9600,441.0000,0.3542,85,00:01:25
31.6000,4.1300,442.4000,0.3694,86,00:01:26
31.6000,4.3000,442.4000,0.3846,86,00:01:26
31.8000,4.4700,445.2000,0.3998,87,00:01:27
31.9000,4.6300,446.6000,0.4141,87,00:01:27
32.0000,4.8000,448.0000,0.4293,88,00:01:28
31.9000,4.9700,446.6000,0.4445,88,00:01:28
32.0000,4.9700,448.0000,0.4445,88,00:01:28
32.0000,5.1400,448.0000,0.4597,89,00:01:29
32.1000,5.3900,449.4000,0.4821,89,00:01:29
32.2000,5.4800,450.8000,0.4902,90,00:01:30
32.3000,5.7300,452.2000,0.5125,90,00:01:30
32.3000,5.9000,452.2000,0.5277,91,00:01:31
32.2000,6.0600,450.8000,0.5420,91,00:01:31
32.2000,6.3200,450.8000,0.5653,92,00:01:32
32.3000,6.4000,452.2000,0.5725,92,00:01:32
32.3000,6.6500,452.2000,0.5948,93,00:01:33
32.5000,6.8200,455.0000,0.6100,93,00:01:33
32.5000,6.8200,455.0000,0.6100,94,00:01:34
32.4000,7.2400,453.6000,0.6476,94,00:01:34
32.4000,7.4100,453.6000,0.6628,95,00:01:35
32.5000,7.5000,455.0000,0.6708,95,00:01:35
32.6000,7.7500,456.4000,0.6932,96,00:01:36
32.7000,7.9200,457.8000,0.7084,96,00:01:36
32.6000,8.0800,456.4000,0.7227,97,00:01:37
32.5000,8.2500,455.0000,0.7379,97,00:01:37
32.5000,8.4200,455.0000,0.7531,98,00:01:38
32.6000,8.6700,456.4000,0.7755,98,00:01:38
32.7000,8.6700,457.8000,0.7755,99,00:01:39
32.8000,8.9300,459.2000,0.7987,99,00:01:39
32.8000,9.1000,459.2000,0.8140,100,00:01:40
32.8000,9.2600,459.2000,0.8283,100,00:01:40
32.7000,9.5200,457.8000,0.8515,101,00:01:41
32.7000,9.6800,457.8000,0.8658,101,00:01:41
32.7000,9.8500,457.8000,0.8810,102,00:01:42
32.7000,10.2700,457.8000,0.9186,102,00:01:42
32.9000,10.2700,460.6000,0.9186,103,00:01:43
32.9000,10.5300,460.6000,0.9419,103,00:01:43
32.8000,10.6900,459.2000,0.9562,104,00:01:44
32.8000,10.9500,459.2000,0.9794,104,00:01:44
32.8000,11.1200,459.2000,0.9946,105,00:01:45
32.7000,11.2800,457.8000,1.0089,105,00:01:45
32.7000,11.7000,457.8000,1.0465,106,00:01:46
32.7000,11.7900,457.8000,1.0546,106,00:01:46
32.8000,12.0400,459.2000,1.0769,107,00:01:47
32.8000,12.2900,459.2000,1.0993,107,00:01:47
32.9000,12.5500,460.6000,1.1225,108,00:01:48
32.9000,12.7100,460.6000,1.1369,108,00:01:48
22.2000,12.8800,310.8000,1.1521,109,00:01:49
6.5000,12.2100,91.0000,1.0921,109,00:01:49
1.8000,11.7900,25.2000,1.0546,110,00:01:50
